entry id,exit id,turn type,result id
43104904,43104840,straight,43106254
43104903,43104839,straight,43106253
43104903,43104838,straight,43106599
43104903,43104837,straight,43106598
43104902,43104869,left turn,43107345
43104902,43104868,left turn,43107344
43104901,43104867,left turn,43107343
43104803,43104823,straight,43106250
43104804,43104824,straight,43106251
43104804,43104825,straight,43106595
43104805,43104867,right turn,43106242
43104805,43104868,right turn,43106241
43104805,43106240,right turn,43104869
43104806,43104870,right turn,43106243
43104846,43104837,left turn,43107348
43104847,43104838,left turn,43107349
43104847,43104839,left turn,43107350
43104848,43104823,right turn,43106238
43104848,43104824,right turn,43106237
43104848,43104825,right turn,43106236
43104849,43104826,right turn,43106239
